Time,Type,Entry,Exit,PnL,Result
2021-08-19 09:39:00,SELL,1774.87,1780.34,-100.0,SL
2021-08-19 11:52:00,BUY,1785.07,1785.5752448221053,7.7190181154990904,TSL
2021-08-19 12:09:00,SELL,1786.15,1786.2587017769324,-12.059308150103433,SL
2021-08-19 15:20:00,SELL,1786.76,1785.1834250240302,82.11183931286105,TSL
2021-08-19 15:22:00,SELL,1784.63,1786.61,-99.77771549278258,SL
2021-08-19 15:29:00,SELL,1786.84,1787.7334199999998,-98.77993833785474,SL
2021-08-19 15:40:00,BUY,1787.7,1787.819135635992,3.0182716760011017,TSL
2021-08-19 16:06:00,SELL,1787.62,1789.91,-97.82232167123621,SL
2021-08-19 16:19:00,BUY,1790.44,1789.8163687234762,-18.52607630153225,SL
2021-08-19 16:21:00,BUY,1788.24,1787.34588,-96.65883769150852,SL
2021-08-19 17:07:00,SELL,1787.94,1779.56,191.3844986291869,TP
2021-08-19 17:09:00,BUY,1779.47,1778.580265,-97.6060943008853,SL
2021-08-19 17:15:00,BUY,1778.1,1779.8781,193.2600667157529,TP
2021-08-19 17:50:00,BUY,1780.68,1781.2662309223695,16.747960537870167,TSL
2021-08-20 15:21:00,BUY,1782.88,1782.841032772254,-4.31575745224832,SL
2021-08-20 15:46:00,SELL,1786.24,1784.45376,197.3739121117804,TP
2021-08-20 16:09:00,BUY,1779.85,1780.679341553689,93.80801453328253,TSL
2021-08-20 16:43:00,BUY,1784.33,1784.0401323227911,-12.322259836798176,SL
2021-08-20 16:59:00,SELL,1783.09,1781.7164212871714,48.39745107435675,TSL
2021-08-20 17:01:00,SELL,1781.53,1779.7484700000002,203.91905446943287,TP
2021-08-20 17:21:00,BUY,1780.49,1779.7977125265008,-63.714167768720245,SL
2021-08-20 17:25:00,SELL,1779.22,1781.61,-103.36157610172356,SL
2021-08-20 17:39:00,SELL,1780.41,1780.372059085038,3.2353470346073374,TSL
2021-08-20 17:42:00,SELL,1779.78,1780.79,-102.36031381105241,SL
2021-08-20 18:00:00,BUY,1780.82,1781.759406263928,38.697699500823,TSL
